Country,2020
Albania,-8.406205359318164
Algeria,-64.36204215595446
Angola,-408.6859301297684
Argentina,-596.9444395765659
Armenia,-22.395948592436497
Aruba,-32.5076692664863
Australia,-3.958964568502518
Austria,-14.072581214681117
Azerbaijan,-62.10600280389023
Bahrain,-35.91866870840288
Bangladesh,-26.09874775455845
Belarus,-69.96396462974377
Belgium,-23.56814952498916
Belize,-14.91393044134576
Benin,-8.423046766240587
Bhutan,-58.92005293599439
Bolivia,-75.99535407977035
Bosnia and Herzegovina,4.857698840530585
Botswana,-55.259518998762076
Brazil,-76.98103580299403
Brunei Darussalam,-29.1841782005203
Bulgaria,-20.912571671934494
Cabo Verde,-12.88998468969892
Cambodia,-45.90580144810687
Cameroon,-7.767368132971718
Canada,-17.338229211411633
Chile,-16.415312705262682
China,-10.211404950418517
Colombia,-16.35673683455052
Costa Rica,-24.22177603104975
Croatia,-12.208066703479735
Cyprus,-17.960581965718564
Czech Republic,-8.79025053004427
Denmark,-12.53759907046661
Dominican Republic,-43.56469817164539
Ecuador,-9.383533444684884
Egypt,-30.534456811804368
El Salvador,-17.35313416418074
Estonia,-30.847806197715293
Eswatini,-45.71095367410598
Fiji,-43.80191659879223
Finland,-16.780095140436572
France,-10.147514737737602
Gabon,-8.152856908865045
Georgia,-45.854382350430036
Germany,-6.140106424297183
Greece,-2.3708670310195776
Guatemala,-15.1138198418146
Haiti,-61.06840273930388
Honduras,-90.7507237585925
Hong Kong SAR,-28.98303378124568
Hungary,-35.83234382881185
Iceland,-23.670342358799374
India,-14.492533729160973
Indonesia,-26.127754203910722
Iraq,-24.97233071362749
Ireland,-8.18175046262283
Islamic Republic of Iran,-70.16903541005297
Israel,0.010837099807943229
Italy,-3.306874327007498
Jamaica,-92.24349321602362
Japan,-1.01469964471224
Jordan,-36.08542561816836
Kazakhstan,-113.92004856302401
Kenya,-20.3566086387344
Korea,-5.8382063523652254
Kyrgyz Republic,-155.332764273309
Latvia,-17.599150356221728
Lithuania,-12.237263483323447
Luxembourg,-42.748267563572064
Macao SAR,-64.63534848597423
Malaysia,-43.091820277801375
Malta,-33.760050014882424
Marshall Islands,-15.95509147405798
Mauritania,-131.8582482464106
Mauritius,-51.85506959324503
Mexico,-20.641876680014942
Moldova,-571.5107811410631
Mongolia,-58.153342806271596
Montenegro,-61.7774364176708
Morocco,-14.101697003345414
Mozambique,-70.68075101046138
Namibia,-48.52881641982402
Nepal,-55.33622735780873
Netherlands,-11.524784069889158
New Zealand,-15.09593227877358
Nicaragua,-68.42945571278926
Niger,-16.904458105451067
North Macedonia,-31.65393442493012
Norway,-24.55627451600431
Oman,-33.468480481240555
Pakistan,-23.84153203178085
Panama,-12.524941438272425
Paraguay,-35.64506657290379
Peru,-11.648653088854747
Philippines,-22.997132305799
Poland,-3.48688015810395
Portugal,-4.428252591384763
Qatar,-31.30403717712777
Romania,-29.337110293765605
Russia,-28.974804422445512
Samoa,-20.38835866539118
Saudi Arabia,-29.41952709333529
Serbia,-21.69252928218244
Seychelles,-78.12082906651855
Sierra Leone,-121.14016582086771
Singapore,-19.186177331352436
Slovak Republic,-11.959900931305876
Slovenia,-11.45978772397219
South Africa,-19.459891229135945
Spain,-3.7560418525516104
Sri Lanka,-34.64857551173864
Sweden,-10.169507230427563
Switzerland,0.1928158512413738
Tanzania,-13.540899051993385
Thailand,-25.40907178033164
The Bahamas,-16.084664466501295
The Gambia,-60.71189784276574
Togo,-8.691188760126899
Tonga,-42.455945268683905
Tunisia,-39.17415532742464
Uganda,-11.33759870493741
Ukraine,-73.4444182033098
United Kingdom,-6.5950254258969645
United States,-3.4013750134370513
Uruguay,-17.192715961475514
Uzbekistan,-42.99957066279085
West Bank and Gaza,-0.7733929995735735
Zambia,-45.450278424735316
