Country,2020
Albania,224.80262638143185
Algeria,2268.5802998431714
Angola,115502.47407699488
Argentina,-6414867.1347481
Australia,482.1523442724513
Austria,-48.37039869574016
Azerbaijan,7699.57055460047
Belarus,-1753.4522326786816
Belgium,-69.97974366856334
Belize,2523.9799383211175
Bolivia,1220.2634613397358
Bosnia and Herzegovina,-90.53462850732643
Brazil,4307.22563441463
Brunei Darussalam,-640.2115630271048
Bulgaria,-499.4469359270602
Canada,6.326683283322318
Chile,-2863.9018670730024
Colombia,-1071.2668089881495
Costa Rica,-749.3005823892253
Croatia,-59.19687887007753
Cyprus,-36.586061506478686
Czech Republic,-1952.213183788452
Denmark,-96.21678673764244
Dominican Republic,-45650.1627009773
Ecuador,1111.3218352135257
Egypt,-452.17106886975637
El Salvador,-519.9364838702561
Estonia,-443.2665820735085
Fiji,-1482.532620466142
Finland,-8.573629633574965
France,21.477932650471395
Gabon,273.18880197842606
Georgia,-5174.040159219128
Germany,-49.81905080270329
Greece,205.13951563123598
Guatemala,-23051.365954026685
Haiti,-12959.75469635703
Honduras,2081.252217974605
Hong Kong SAR,-169.6127775008254
Hungary,-252.25923242578995
Iceland,-174.7149300855769
India,4351.557214997362
Indonesia,-4152.5048778446935
Ireland,-813.6258172871425
Israel,-135.93038543182624
Italy,84.39906048621283
Jamaica,-6616.963527923449
Jordan,-186.35771857710353
Kenya,2253.2650667912694
Kyrgyz Republic,206399.204703983
Latvia,-361.7019194281739
Lithuania,-64.18221548380485
Luxembourg,-110.23169176613975
Malaysia,-289.2657495104345
Malta,-194.5387918323992
Mauritius,10662.480588437094
Mexico,6187.439356315074
Moldova,3284.7572447085117
Mongolia,-1156.8967147177668
Montenegro,-1360.4290917855492
Morocco,223.26107768402147
Namibia,-454.70904342374087
Nepal,26795.35862267155
Netherlands,-277.04742138866027
Nicaragua,19758.40168330365
Niger,769.9793296199431
North Macedonia,16852.495454921645
Norway,-77.60344912664638
Pakistan,-11451.997587929362
Paraguay,-714.4664322338432
Peru,1068.503832768527
Philippines,-460.1279874510447
Poland,16.879962226708777
Portugal,89.50977737499089
Romania,-828.2529677241365
Saudi Arabia,-4114.177139638304
Serbia,-104.36360835268121
Slovak Republic,-159.36489201726158
Slovenia,-75.07126836279097
South Africa,-1154.599468902091
Spain,1170.6584960632679
Sri Lanka,-2696.6771410368306
Sweden,-100.83181480704141
Tanzania,7883.744739259301
Thailand,670.0403720446185
The Bahamas,-33.146417405230366
The Gambia,-1646.5453693442446
Togo,161.72665935004596
Tunisia,-6832.47046765284
Uganda,4543.998509321386
Ukraine,-528.3999944978538
United Kingdom,106.21449840117965
Uzbekistan,-7685.67335651945
