Country,2020
Albania,120.1451372275141
Algeria,817.4422798492628
Angola,4904.003759846595
Argentina,-124711.3916335133
Australia,261.6518912474059
Austria,-62.763929754961666
Azerbaijan,2194.1616866704035
Belarus,-160.8306808829219
Belgium,-77.71086198886023
Belize,1924.6548152126402
Bolivia,470.4703457930351
Bosnia and Herzegovina,-93.83726563599616
Brazil,1139.7569673831013
Brunei Darussalam,-493.1197764235702
Bulgaria,-286.63602594483723
Canada,-24.239830632797887
Chile,-1279.758493028155
Colombia,-532.2263639236695
Costa Rica,-302.11030892361913
Croatia,-71.81425598693197
Cyprus,-50.824568161263755
Czech Republic,-1445.1979322859306
Denmark,-97.18166412075036
Dominican Republic,-10745.042495598085
Ecuador,465.138294802162
Egypt,-152.3766248079704
El Salvador,-384.2342146539346
Estonia,-266.9898906874686
Fiji,-852.7341330554086
Finland,-30.630903667506377
France,-4.374089949927317
Gabon,139.75413134473612
Georgia,-1950.6233559984616
Germany,-60.88717679093971
Greece,154.37658830771062
Guatemala,-11741.597911631454
Haiti,-2040.3186382646988
Honduras,750.2955795171295
Hong Kong SAR,-157.07017757357838
Hungary,-177.63832445144178
Iceland,-134.02874096877323
India,1689.9070883878608
Indonesia,-1368.9584813069512
Ireland,-678.4822370160236
Israel,-128.14565840095102
Italy,39.2920672308718
Jamaica,-1669.9212923065718
Jordan,-139.12390246568677
Kenya,946.449767829865
Kyrgyz Republic,49883.17036705759
Latvia,-221.78836573375216
Lithuania,-79.32774151097924
Luxembourg,-106.13336655798933
Malaysia,-221.76322368857456
Malta,-163.02222173105855
Mauritius,6166.014129131094
Mexico,2546.0089371109434
Moldova,617.2728215450193
Mongolia,-238.07085343109583
Montenegro,-692.361070897127
Morocco,157.0541821967752
Namibia,-214.29154487539236
Nepal,7572.246675854625
Netherlands,-235.62445854606065
Nicaragua,5596.946635837645
Niger,426.3272989807673
North Macedonia,10622.537403744354
Norway,-86.80865461458176
Pakistan,-2833.5681884465007
Paraguay,-306.2752863237702
Peru,537.0352008235075
Philippines,-305.04319863702494
Poland,-22.047995579148225
Portugal,38.355441741116515
Romania,-292.99050997284064
Saudi Arabia,-2107.3309854476647
Serbia,-101.42280600009593
Slovak Republic,-144.01565262496908
Slovenia,-82.54407446815267
South Africa,-469.4815829342491
Spain,867.0490220462575
Sri Lanka,-880.2582841353413
Sweden,-100.61145601294716
Tanzania,2028.5129019898845
Thailand,404.04414030799825
The Bahamas,-42.95597134512615
The Gambia,-593.6119159044886
Togo,90.9061535959183
Tunisia,-3066.8172366541085
Uganda,1331.3918534171441
Ukraine,-129.35201795966648
United Kingdom,37.24989297344964
Uzbekistan,-471.7919305201245
