Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,15.193596345928416,9.541243190071976,27.01863235718515,7.207784429189953,19.571930754814655,3.5628839483981207,2.329814438394604,13.917870765591232,16.82277650267639,-8.537130743260684,-6.137456892704801,0.30992864010635107,-3.142968404026993,6.767303270519704,6.673065072582607,3.3053292982408644,1.3435244325637785,-23.611074431311234
Algeria,34.26265247012539,51.76544346947655,25.653019763132466,-2.4239745297074218,22.050481774098735,35.857121442453746,19.127155502014087,17.94507991173834,12.473172603280565,7.213574876167398,25.526458192887578,4.128161431338026,8.126392862237479,6.899160314275892,2.0783544847059408,4.590747365137862,-8.269517833298746,-11.656772751450028
Angola,260.86221512527624,50.00734320700663,67.97418782531409,-2.4424867270588115,47.18171641718816,61.45909917686903,15.411927106488054,-6.034581809111595,31.991557588139006,7.307243449367955,10.180062264793825,4.110191622932573,-1.781646336433551,-8.661787041143091,11.390897058471538,37.95984358256162,-18.942410122032037,20.562598556399088
Argentina,-522.3059196265632,124.93704133149608,62.03383102890511,14.972118808138637,41.91240245456052,49.37536099439684,-28.684155099067016,102.16979700472514,54.31612389025282,4.293610307652373,44.31487749143746,41.101190454883515,12.064775239364474,70.807001324306,38.21450669093165,66.35703467348287,34.13369928963575,19.08346205556353
Australia,-294.1581432875782,175.5476320998774,34.72262968857555,15.914784595255597,21.84030346384553,24.060412889006244,-52.067011678573884,64.45019968631476,23.291083333499543,21.099577515771173,9.00152201632834,-19.007471816995498,-11.115588769074108,4.401628664934475,0.30395148415891093,18.981756338237314,-37.10544280812812,-139.57034060459475
Austria,-16.901738272124195,26.684935821923098,-13.938102609376411,-5.733747259234131,-12.780019454195182,-0.7308168515659221,23.14340819479853,-4.215613719711435,-20.801776739598846,-4.486751573663669,-1.3846213672930756,-1.2995912629884177,-25.514624002450827,-28.014302723146844,-31.845682895424428,-65.7423563496942,-84.07338581128654,2808.0993676158837
Azerbaijan,270.6359033658247,31.704432542260605,-6.165040155650435,-24.453786262704323,-5.912157154646821,0.06528101556854182,-62.67926498528893,127.96747336003034,176.7294538502373,13.087023116920898,20.918113168628267,11.66236340459379,12.213162425416373,61.820383875413945,18.473230268522368,3.3467972217414586,2.371790787950967,-13.936729346679646
Belarus,3.5430653834552266,8.760298570104117,-6.090631704589624,11.998315810229213,12.93558155126368,28.924669607237114,-23.929895551665,-7.9343015100631655,18.639663817515505,-30.81715806394348,-47.96707063752255,-36.6887398214481,-17.35533022469122,-30.89746188289732,-84.80776220524957,-891.8534358353004,114.51087318569157,26.392096799033954
Belgium,-2.4285319876979,-16.962900724583612,9.710159005015894,-24.14472678669454,-10.154860501228981,-7.9309204425672135,44.56562968969647,-11.04033633702726,-7.951276050870287,2.744387795067345,-0.7464627955106564,-15.660261886396412,-28.68206227982684,-35.88062812931866,-64.53122720566942,-149.34508261325564,191.90689366571644,-268.0051202504704
Belize,-213.1533903264134,-231.7383312881409,443.45170941387454,31.9336504117956,13.784938631077749,141.15080282474787,-59.46330348524514,-30.794341316407365,98.32880149156483,17.328242606532417,2.290743714379907,23.174891117825577,13.680465775847876,4.809319325843186,-12.759971838755614,-3.8164026981162102,25.33118545564388,-33.01420895391878
Bolivia,5.160212423576687,10.83685695307734,48.475819583823586,32.612279657871206,18.699476263446368,34.24473579893235,-13.646779643059778,26.223271195101837,39.319325902044454,10.531644886348586,12.511297166631184,21.47797666760287,-12.916918214952311,-8.787036970594091,13.25138041738623,6.0559482594017835,2.9962457494162464,-30.79906773528524
