Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,113.77160745273741,131.66132516550334,144.1322635053774,166.82943665398955,181.95287835572762,208.79738381036586,227.13398285966127,238.72155023284427,276.1573395153565,303.4064642401235,303.9540694910294,299.1197767560364,300.47198652769265,308.2000933914817,325.1534153410495,343.321564874782,363.9164768269369,374.31478484265085,330.3005851536849
Australia,24.598075308351927,25.888125135760827,27.666263338033545,29.568460381592843,31.450038186057736,33.814149718101014,35.748450214819634,34.39482277504658,37.14176392343103,39.81625448196716,40.2796160399595,41.14362146060414,41.446271393616435,41.13485504293459,41.994593212930795,44.23116872404783,45.704493169852526,45.82350067896948,40.65488977392373
Austria,11.048505853912895,12.001595846548748,11.367429257496537,12.657403258388168,13.562462717356496,14.779574232623684,15.063624127113659,13.306914652915758,14.088395224560356,15.50420468209331,15.79071179346127,15.83099523958844,15.951933361033205,16.927627489760724,17.845011432238095,18.667701022327165,19.67669850954108,20.46484340194773,15.968724313891245
Azerbaijan,0.5071644905914588,0.6251914386471212,0.7237874558521287,1.0574983627084045,1.4822729629613731,2.180693307721828,2.827508157088088,2.3352539674543493,2.891903051811868,3.4987159850337153,3.4926462659465747,3.624795826208528,3.7258883106707117,3.295512822674031,3.9361622533492593,4.594662410131976,5.37345504117703,5.500702345841894,4.2780621782439106
Belarus,0.12041104803431257,0.17090647762568248,0.23335966109331702,0.30528373627560806,0.35610661900470325,0.4175206627774702,0.4089411691177655,0.5690848488409566,0.815784532604666,1.5719914527663597,2.9707874263116847,3.6353865832381365,4.573693338708118,4.864153729142522,5.253817683948066,6.077293110684891,7.292477290888186,8.229338838115378,9.132327636142017
Belgium,11.48424166730704,11.511017048142655,12.660219046963299,12.455821958681558,13.979233418345833,14.799601360622022,14.413545111992384,12.820398956138732,13.647243316448327,13.542472932358503,13.448897123235655,13.736201536149856,14.2734578151948,15.4211255896303,16.112491879183334,17.10020947460002,17.608642309756195,18.41739424559009,14.658841314835247
Belize,-13.14980432928024,-13.795090275255948,-13.967607874301127,-12.256378041885748,-12.187101642707322,-11.442920524252386,-7.817163123915993,-10.388146744407992,-11.180289717341994,-9.379888169774818,-8.949606545934001,-8.052707243081219,-7.130025080475001,-5.8236736676421295,-5.463509634947661,-5.91718988562625,-6.015687107325675,-4.777737188257017,-3.605322815699987
Brunei Darussalam,-45.60829216469317,-50.17058994920079,-53.30284105926801,-57.618909209929,-60.37540122333343,-48.371947739542584,-56.30084218243989,-45.92049240600136,-36.76541872219218,-28.012018406235548,-19.77688302398147,-8.126478106135938,-22.324952113915426,-11.210337732880454,-11.470961483520647,-9.36009987902315,0.2651968484632228,0.10629656166561574,-5.171608417574475
Bulgaria,2.3884633560529567,2.559028919813729,2.9460100787812213,3.4399395291864403,4.090609453165926,4.849769140035294,5.653962351514689,5.63401672559562,5.642511958095882,6.538354619055037,6.643407661224665,6.3116223431460226,6.320987594822472,6.748991921796518,7.836874457717007,8.679942721133962,9.101909189453304,9.842448169838008,9.56747341395064
Canada,21.89707594585921,22.88635803935178,24.638574704689056,26.279414745769817,27.36031451528244,28.656551812994305,29.690053740839684,25.663636182869205,27.118277900723903,29.38858660447666,30.31485671470755,31.765191756207543,33.88308337332477,32.612799042813805,32.43126402215546,34.06348168478636,34.982087426237406,35.670134511153314,26.50110688060397
Chile,2279.0543852610754,2478.4724323230143,2883.3294266378366,3269.292554745425,3930.2585426348496,4262.680217982397,4238.6514493563,4134.562366043769,4798.673419548472,5229.393060792609,5508.365219150347,5702.041999163391,6022.626327350232,6302.994737473453,6606.180096196832,6915.343204317072,7181.243905067393,7220.218783932765,6957.813072280648
