Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,-1.4682097635578586,1.2693250869041108,-6.101872232197557,-1.5324351359888269,-10.113489259208343,-1.858339693538781,1.8130761975282113,1.1670299929570689,-7.238349843003284,7.059564319361613,0.8920236219768682,-2.553141664438961,3.7270618093507863,-0.25553397194369154,-0.2541287297081354,1.4210365766690884,-0.8740615795857849,6.494238909105313
Algeria,2.5060891311056928,-3.5888054010517134,4.309315993677933,1.374672843339244,-8.936952598560737,-12.983276318896863,-18.851855915016266,2.1605451062726786,-4.650488130353388,-6.523463015323159,-8.40748868509128,-6.356169631998242,-12.988969006693175,-0.10125954095807543,2.503860577920321,-1.3514641340376272,6.004084826206238,1.519581743503963
Angola,-50.69563229745026,-16.757871240439805,-27.18471574990992,14.793395968625404,-41.84926890687376,-77.37184529258408,-35.87642880239221,36.84140702334824,-55.187187553661516,1.872259219353822,-15.423255786902217,-4.395111817975021,8.726603937090346,18.821688217370593,-32.892075755545164,-112.46018459740901,80.67012916299416,-100.317835857408
Argentina,-4.905417987570157,-5.044705714772635,-2.847588473869589,-2.969706639806782,-4.889859706146806,-6.816935469577783,0.3715974121124468,-10.660320172770824,-12.111859027620998,-4.419402781042962,-16.44188827140082,-23.10073956509001,-9.63660202836438,-58.9609926361797,-48.206495808914326,-132.17678571730409,-113.1708332730829,-140.95590371516357
Armenia,-2.3027835338069877,-0.594808608886046,-0.13806485628323806,-3.0212345899843758,-5.571153751222795,-8.159365340479784,-3.5413062685133383,-1.7695764145748356,-2.3666083792666797,-0.4287990458851425,-2.5813608166429347,1.5051192312919355,8.24409577621148,3.2797329639026884,-7.105398239724671,-7.364691897579711,-1.5946440519486984,11.114899230956638
Aruba,-4.5660635612147935,2.2637105174495,-7.309517607422547,-5.315485114261153,-1.6019995925601824,-1.2277976387558596,-4.882515091459977,-2.388379883974334,-3.0553621665142803,4.382229750745022,3.354494850337826,0.4648252465464857,4.593790218616697,2.6893665544241783,1.1606343495035554,-3.911132854223291,-3.5522006606094045,-13.606266583113744
Australia,-2.340928338800296,-1.502868620453802,-0.30379142993665287,0.3256616755956734,-0.4618524259858954,-1.8062831628099156,2.756045077880998,-2.4729165613758295,1.0902912620879848,-0.9727482778199561,-1.4229931653924361,0.9734356062766344,-1.045537516397939,-0.9804187564032831,2.032547659217139,-0.5656134116761755,1.4702591303228774,1.2687466871683566
Austria,-1.326279832688293,0.011727886652499464,-0.3855177690877376,-0.04094243988092572,0.031427808900293286,-0.7016579789803838,-2.5953511999023346,0.379400118211735,-1.2396625939474166,-0.9673247565326042,-0.7852331901508407,-0.6117367230005026,-0.64611482732604,-0.8179606567321493,-1.2310359362813221,-1.180668441609646,-0.4584648793680112,-1.5071858029574365
Azerbaijan,-15.72691941210538,-4.302365745905615,24.63630325184956,13.316228593521585,6.496488005214633,-4.390435810582641,-6.022751618924509,2.066941362815612,-12.66632523748706,-7.261233061647005,-6.753725754337465,-4.327219246437208,-16.61457874855678,-19.330501151395097,-8.396779162194491,4.801263995277694,-2.589609499862185,-5.040783563133878
Bahrain,-1.763453598283057,-1.7919823352263222,-2.6862655544215244,-2.164394754434369,-5.430601585553596,-9.010297341183914,7.532658742633359,-3.7893852289617875,-1.1967564131440263,-9.920868248297118,-1.4809566447562208,1.3209789171234902,3.0551535528206006,-2.579358456706272,-4.1110579565514165,-4.419703188488412,4.255547589231754,-1.7379262042040517
Bangladesh,-1.3143435162338402,-0.41592744848693686,-1.5564238198810276,-0.7775500611208308,-2.0317017383870937,-3.5711336897931796,-0.4393482756621072,-1.1392668610028132,-6.4556413965454365,-3.63227681085057,-1.741182406164171,-0.8977524766652181,-2.830463154010932,7.9133698499944565,-2.7600929331441044,-8.004072734725113,1.591802112118767,1.9632576060017009
Belarus,0.510714316037145,1.4391099174238278,-7.80311142038412,-0.7630914133187403,-0.21346190817166644,-1.7055103151534041,-11.35434985700305,0.8502844442763049,16.232176693446398,-12.888835102899712,-20.568173781662207,-5.791410343074951,-4.4213275384963495,-3.1026169679861173,-3.6117916117005633,-5.908782075795367,-7.817409091856951,-3.046378573424251
Belgium,-1.4752861424135872,-1.084066602620588,-1.3910656423367644,-1.0357901459761418,-0.9816102631087684,-4.164020381910435,0.005785537816093367,-1.1754915320578894,-2.6912080251112434,-1.3537312691015435,-0.29186194458796333,-0.7272978888968664,-0.437843115438175,-1.7263026333149334,-1.7627088954871173,-2.6354715750866586,-0.5162931024617627,-0.12388590289481716
Belize,2.725413245665308,3.538654065338612,-1.9287547777062208,4.866311040626461,-2.7116282583136053,-10.443115293801956,6.611471246298123,3.7665598450571363,-5.949696858665135,1.0202413475571763,-4.4769772607904095,-2.4505186855552274,-5.213906959926035,-3.0791433215361224,5.907156831582661,3.1650525490139465,-1.2110180483911712,-9.050031147799302
Benin,-0.8191604124849068,0.9183431274992118,-0.11034844485513595,-1.6382516883843146,-0.3496015752659122,-0.07195728067373525,-2.016990227059862,-0.19078638392486735,-1.3386644166075121,0.7359695691956283,-1.4548104029425057,1.7490133838176813,-5.194512550094231,3.327546710408774,-3.184873937045722,-0.386360141914996,2.9398752960655123,-1.3374773919736933
Bhutan,-2.085914259098896,-9.85303561551811,1.0410695216220418,19.0604955087745,-0.07839120870174199,-10.631930839011016,-14.82537611741359,-20.77334581559925,-8.92632767984864,0.7090758888101618,-5.295393697054095,-1.8849228125933024,-19.205397534622435,11.375745374090513,1.079031190778636,-8.726145048779259,14.197895179777333,-4.097184971607248
Bolivia,3.185077012144646,0.21860900457892996,-17.026929674661922,-9.012349371733137,-13.519131208289863,-24.460840345913397,14.142564690238217,-11.774309383881658,-38.01592661013284,-6.994275952351558,-11.286963587428318,-32.14193406791347,24.76330303524591,23.534631652663478,-9.175711337625074,-0.4384307199398165,-1.5483453312890845,33.5556081165186
Bosnia and Herzegovina,0.5862797700868896,1.3937968162407692,-0.16889700676965447,4.05980485903477,-4.410502860421865,-6.860735673994721,8.038395066732392,1.5989156355831362,-3.2624154718706215,-0.03085875703853702,3.0936525019581964,-2.587972657850468,3.427741538945579,0.9083675958991648,-0.6359217396551458,-0.09336766160134502,-1.3942336394736614,1.195650524725707
Botswana,-2.7915447910981186,-2.1232330863432054,3.378478423246058,-1.2527785403838934,-1.894366348368493,-16.340086684598294,-15.545594366449798,6.77913061181526,0.23645348114900955,-7.958025011627927,11.836747857076956,-2.5509373025349547,-11.355454224056986,9.111647650741535,-3.803673042619267,-2.8167389807336867,-10.022076567543968,-8.147468076432299
Brazil,-1.5868953603269915,-1.1009537315697404,-0.38841866770421873,-2.343162985169247,-3.779908025379152,-7.866060989953901,2.1943876694148514,-5.248287447507888,-4.361014935644274,-6.936112455411305,-7.637051647108443,-3.775404760227481,-4.857395527772368,4.6370593056983225,-0.8554608999171052,-15.239952010444647,-7.282449542682258,-10.55395379128818
Brunei Darussalam,4.326913228368717,-1.0673795547424945,0.893183804608185,1.1615870781497861,-7.872058655160274,6.101656879195026,-5.995934773731683,0.7543871157006308,-6.03068875726354,-6.4128809010346295,-9.668083060654372,11.109486014800108,-12.26075195359051,0.6237519273360377,0.32262783646577375,-6.96494575330585,-0.8653324597502561,2.660283784089044
Bulgaria,-1.514873665253278,0.38258739223452665,-3.94842255978189,-3.009922649462446,-5.25662457414841,-5.3089290149582435,6.582569332591197,5.019691635670017,0.719808828407988,-3.8440706358184547,2.7352786649214003,-1.337525972576468,0.10431112910653728,2.0491231530218954,-3.833384466734714,-4.7062736654060515,-2.585068138737638,-3.1608464650104633
Cabo Verde,-1.2320375355300186,-0.9899186536287772,8.194417236145004,-0.5179638678477438,-4.561644902588402,1.76025952425886,-0.7554623866879169,-3.8243983745663357,-1.7057673099357373,9.44758966815256,4.687948144225118,-6.533551855609126,5.10207338516496,-1.429542715059501,-7.19965268792356,1.1501236172597515,4.434304412009421,-18.916760387537476
Cambodia,-2.5054069653826136,-1.0867194501701682,-6.429341686289307,-3.442282566712766,-5.31852132707586,-3.877884842987765,-1.010972437341458,-3.332382150591563,-3.068800785535501,-2.7648565772728304,-4.392739063682676,-1.6061333097584907,-1.345083664816137,-3.594520755889569,-1.6232227071962697,-1.2178626325091813,-2.7332512619498885,3.44418073705517
Cameroon,-0.3842907885419993,0.6379472899414251,0.14092190629767343,1.324354191081829,-0.058603741706361845,-4.21131584533112,-1.7987008942267484,0.6060401968064157,-0.9301043013298407,0.19579653148617748,-0.871378248094491,-1.6975982394890647,-0.06903649480728546,0.6485089129215558,0.028128929978745276,-1.043094105419017,-0.8944648178583887,0.6095213853187769
Canada,-1.9335169012740323,-0.32101709238797227,-1.3645457692694656,-1.9626018968779233,-1.5759246564506224,-1.5527899862972463,-2.6753677187949982,-1.1785568269234181,-0.22041383759767108,-1.1288912146722847,-0.23196314413898267,0.0029429015928892355,-1.3095879797456829,-0.14336319935210895,-0.7199244836730823,-0.3147751814596198,-0.18864603963625814,-0.5192861844531542
Chile,1.9746237932317108,3.7231695335242065,-1.6430727724315197,2.8266902312344975,-1.0673733210131608,-9.119838524619206,1.7627248949073628,-2.6753265163549393,-3.2659741650923806,-3.792148441779667,-1.223464208349145,-0.2819981109304175,-2.9785479701811006,-0.600976637378603,-0.43798619560353047,-2.1903281001010035,-1.4990381379986106,4.073551943672825
China,1.1415014358717759,0.6972451096241432,1.999145462473214,1.4231996036304846,-0.8866147921078174,-2.889383274761707,-4.106108982669683,-1.2748547422215086,-2.8778014706864337,-0.4601142714024937,-0.8526100104887702,-0.549173528593152,1.1238756029641088,-1.1212058836485128,-1.2350284858581277,-1.7922878394162192,-0.04544133945170348,1.4942524563238861
Colombia,0.058397705433055336,-0.11889879743047782,-1.3516096348136108,-1.036884161535664,-1.1760384424345158,0.20856910734347678,-0.45371280680922377,0.019452754988175336,-0.08990343530260425,-0.9664151306108918,-0.964481753759071,-2.806214142600277,-3.3409142954380164,-0.8141794029687537,0.7583961800929311,-0.8517310088780663,-2.2567068735147986,-1.173862696312188
Costa Rica,-0.5163017212282242,-0.6840882995686677,-2.293963611971215,-3.290867601028996,-4.929002100385468,-5.915348979356734,1.664427838971438,-3.1140638869417385,-2.7277897991071822,-1.535557255957801,-0.7410160672210142,-1.3474782071492868,0.3332139233838164,0.5339439037959473,-0.7476545628817399,-0.6497854008739183,1.5727084848102686,0.16684731166076605
Croatia,-2.204687306640035,0.3991893953606661,-1.279364208917637,-1.0238413173302465,-1.5568708185395397,-3.9901290783288417,2.9162482084588386,3.5450114816002785,-0.5786834124423732,-0.45404165392105633,-0.7067315821525881,1.5623919168747555,0.5598892438089456,0.9445388139960489,-1.0703840612689295,-2.493331805703933,-0.5094667281557905,-6.267803790178299
Cyprus,-3.0916068050189853,-2.7962858343145456,-1.4938558742245611,-3.9002362693504544,-3.809362366702769,-10.472138441922743,7.095763814772189,-3.995276198991972,3.5883164743965485,0.9393635953956534,3.993621701312265,0.1253316335914001,2.163654140658571,-0.5272526112990525,-2.9280642702759794,1.040937067670686,-1.9733042338619653,-1.9201874875528482
Czech Republic,-0.37758894784675334,1.5501217700785928,2.0419518641073457,0.37702991293291355,-2.097056828314214,-1.6330797788376739,-0.029220600611863823,0.39386509595620645,1.0152492891257099,0.25284067346250794,-0.008361061738417774,-1.0605067604875167,-1.134667934356802,0.8700935279053086,-1.0517643847529676,-3.4385892097686344,-2.567333116494607,-1.893234040403405
Denmark,-0.8203638462148284,-1.627206602840305,-0.6780953498182392,-1.729522465396757,-2.0763068804890166,-1.157215834517829,0.4653896912321862,1.1158969983603946,-0.8545163968038372,-1.5428551832202837,0.15889304040853425,-0.1355385094609769,-0.44435575853751264,-0.1265020174760334,-0.17553758010118203,-1.60932794702447,0.7413413208684907,-2.041775749434945
Dominican Republic,3.5858867847868474,-10.120403234759184,-8.735408146093873,-4.095910865120491,-3.6281373558069356,-9.050770973382177,4.707193486543817,-4.704021393104382,-3.6496572392911375,-0.5492654903212433,1.6949270544507442,-0.2187878493179376,0.4531119266225012,0.4251318449086092,-0.19008110443314052,-5.233900329068529,-0.7244608029708104,-3.5301444852880692
Ecuador,1.5464849435801917,-0.03841406880861209,-0.6215825413497784,-0.10238688983337241,-1.5120772805952087,-5.6998984471734495,-1.1023633265799884,-6.489204492181124,-0.28428643047792335,-0.6859195097184632,-1.9907629548396422,-0.0049629756486258,2.3021252897677673,4.765311272419726,-2.986470519574139,-2.0506307411592264,1.363602334552942,4.207902892934042
Egypt,2.746821633351125,4.4181527079918155,0.8024203504543017,-0.7479072332446677,-1.9660649390705487,-0.051301993233082044,-6.773229731834968,-2.6408117858135345,-1.231217870229699,-5.675984587440601,0.1551236869531567,-3.9441312707136564,-1.8515722038033244,-2.4421326093227718,-7.662961298317883,-3.256495385141193,-1.2656181276932763,0.8524538453044386
