Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,4.984493280707385,3.141366657315796,0.6293913115643228,2.6045089552199823,3.175168085540758,-0.5602081756664461,0.2519740497080889,-0.3688169308248348,1.1357778695622223,3.0915396222943983,-0.051167693907085976,0.4254484960556759,0.5442865437529107,2.0822210030767394,-0.2971042824931054,1.2038077003026295,-0.9366147014817194,-0.06206379075170432
Albania,-1.854720252623089,0.47493601898105453,-1.2628137145597087,0.2991925940041611,0.11782056794962159,2.4173966255967585,0.9530127023551529,-3.2928116818482316,-0.4633682405574042,-0.6941369130775428,0.9635720046959158,2.536414388677283,-0.9713395698025487,-1.6182818230727705,0.23221429768939927,-0.5699558991925215,0.35139168858551173,3.465761334131617
Algeria,-2.0829298288641667,-1.4371853181347802,-3.657012879077726,1.745473940809834,4.383033603578159,4.713221118596927,4.649862547835511,-5.348864834611703,2.872480907254854,3.4199976379244674,-7.357634870502025,4.420026131075041,5.20593609873093,-4.146288108660876,-3.0841876631639096,-0.7756360639248996,0.08981800498547443,-1.0276959020318088
Andorra,-0.7858242188380622,-0.516711543444103,-0.33340016187358046,1.8169961809625228,2.4080618970293273,1.8747473503444922,0.4306006380724767,-1.04369330557126,0.2515842317747392,4.808398760295454,-1.9920726528301032,-0.26379607378389736,1.254607959227986,1.2021261806311543,0.5537242589003313,1.1779595446004194,-0.08195024124078287,7.449948530345786
Angola,3.1769214911088497,-4.596703775513532,-3.2764519298580197,4.077197172623215,7.524592020981061,14.537479521591052,-7.658954442781273,-5.612567957132107,-1.9926342295196662,-0.19298202326319114,-0.15928870793958794,-0.5928156211013373,-9.40566173187722,-5.007964643813626,2.059643971440778,-3.524025833635548,-0.1757743701439587,2.4282683401503284
Argentina,0.17292748674172032,1.0037136744930528,1.395940116578327,2.191166172480685,2.9339059241647725,1.2117358806982281,3.7621411430647633,-1.1664134315206738,1.543843485806491,1.9194948820736997,0.7815274905657148,1.2499957061509974,2.513407247756625,0.15568153351604508,-0.40056075900830024,-2.1722490302305744,-1.2465401836983858,4.389250208415817
Aruba,0.4851674748381569,4.093386360687671,-4.757701519656429,0.35684328583277036,-2.219694492453531,2.752126277034069,1.518453909386885,3.5548165575404234,-3.2498443514024515,3.5707896992003363,-1.3135483975966906,0.3747499330613344,-4.44678518078414,-0.25069307892528414,-0.573535299105103,0.028452447818271054,-0.9526059931511917,17.096302422784998
Australia,-0.02525682664920481,-0.06576677910472029,-0.23857535268686547,-0.0334517023151335,-0.24234791085908114,0.7574066764388263,2.6840309753874294,-0.8045449183518372,-0.6519047267891622,0.25086788223843115,-0.09868947473575673,0.373746927968881,0.5328880223927257,-0.024888834645253155,-0.500109309420175,0.12839196618546111,2.0303728564509242,5.653370012828141
Austria,-2.5047676372379257,3.778987474796608,-2.550403337705255,-0.7759532891248853,-1.1363907888003624,0.6291413158914381,4.270050014847747,-1.305756868336836,-1.9432289926500061,0.3210268900307085,0.43460487334942854,0.6771266301897967,-1.2975575005551434,-0.9559419111266507,-0.7725162415225455,-0.5599993234573049,-0.17281107060043865,8.49334393041795
Azerbaijan,-1.4809220317398157,2.5609610669656817,-1.7257886754491274,2.806787713743379,0.7660894105700891,5.372331579157507,3.0666697783058012,-2.5484052722468284,1.7771804954674515,2.9007147493103034,1.1437473162981817,-1.405306059116704,2.3034030997039423,-3.270292733081824,0.12944859323571478,-2.4587685306655516,-0.7127709649483833,7.876783067501009
Bahrain,-2.6077149591984927,-3.222955895656721,-1.1350577500652221,-0.8005968618410755,-0.7623921532341456,0.2937272622642446,1.987322176296768,6.7607490421111365,-1.0369364567217616,0.9801005332977795,0.8693140805452657,-4.7947550684028215,8.08353326904006,-1.5132896587303222,-2.8047609079396523,1.3867613621007209,-0.8835117391825165,3.018074209696266
Belarus,-0.23272896209928007,0.4789247476551495,0.978700540057595,2.2148720787785976,1.9629520171737482,10.844509674619474,-8.306751025834245,-7.3880163473806775,-4.025727368497272,-1.4009887121871785,1.9212600221060185,-1.9767709838461158,2.9331259249862143,-1.0866544036397698,-1.6410197891107217,-1.1976939302595184,-0.4907665013239324,0.6920184678713994
Belgium,1.1435458386412378,-1.7283367061537191,2.5434180345901183,-3.0728653667300208,-0.22653397604166514,2.212770706592053,3.905171456929999,-0.8023459055347715,1.4260467956519562,1.173062918933013,-0.36113231128774714,-0.5166751301876857,-1.8800117101818046,-0.6020450343776886,-1.0873058659965977,0.20832954433625872,-0.3945106298015659,7.340253426113435
Belize,-0.034943220649793716,-3.71130944922389,-0.361979690087189,-0.5981122957088942,1.5583315580161923,-1.3600719201617082,1.6626480895252627,-0.2890710334811146,-0.04726951629411147,-1.6915396977047124,3.005809727703067,1.0175143643652866,3.69829249858811,-0.8674734627858101,-0.49038370183368585,-1.3744683142195626,1.0324658194066387,5.904147236411717
Benin,-1.5980796505043475,-0.3263502727205694,0.7789573281063973,-1.1326999843750478,2.8036355232023897,-1.2600434612704117,2.447374019956454,-2.921011354356967,0.6519977706732103,-0.4918481411069493,0.6580990875351969,-0.6694708269509793,3.9280024354580743,-2.7247709748500935,2.3571791114786347,-1.2174536300781718,-1.9664007046132266,4.469863776610461
Bhutan,-4.8375341845260635,-3.967016532726589,5.868264100488332,-3.240233742391517,-0.33361676984961264,3.049316268486379,3.5307380930924595,3.0887210876543634,-5.382565737371806,-1.0168127606614945,-3.006129048957021,-4.195767922424604,-1.6759588676371955,3.1126667748853407,-0.4001712043098351,0.6629670291080743,-7.597307371335894,7.233897747754874
Bolivia,-1.3029008180101442,0.35438396122361837,0.8376261716242439,-3.3479725557038265,2.818593839020444,2.680669901870253,0.48634115073188156,-4.320179500550697,3.856690242117036,0.6822274212080828,2.3925850436766254,4.8258763159507225,1.3337312434459534,-4.661292722433096,-1.3316089088867926,-1.503255558253862,-1.0282102333399834,1.910012761470071
Bosnia and Herzegovina,-0.14845552772499104,-1.8069489795822875,0.10353878837715058,-0.03223817910584614,0.8811310817013833,2.8637443784263112,-0.4043265656121662,-0.2935530450653232,-2.2965331125878734,0.5035376102666902,-2.4009502669185565,1.7478079347998232,-3.0721402843413017,-1.2348540700378479,-1.440009407671134,0.4991961872712096,-0.5517928211790988,5.483326828028218
Botswana,-1.9889793107772746,-2.032067107885972,-6.947994999344878,-0.9178494561173594,4.137597955735686,9.715345571534186,6.563844412993802,-9.797535181681155,-7.3255647788485305,0.9143042792094462,-3.5225715402549014,1.599806752304012,3.2873079202265387,-5.47391190801703,0.8131468910112858,0.8506970332788413,0.5321324820673752,2.0724591677810764
Brazil,2.0757353949177997,-2.8214848216993715,1.5914600246746744,-0.5663969734321697,-1.576436861514594,-0.20750347590734464,-0.3112607523803277,2.7925869462753212,-2.3175167782078603,-0.3477900475583269,0.21825295666470623,1.0708462205116547,-0.03480138000616506,1.1569891941469876,-1.3445065952248143,-0.5909362407186407,-0.3339726289347382,5.497616431867691
Brunei Darussalam,-10.555198148548811,2.2688501491838338,-4.106073735272638,-0.9594275411729996,1.4979961513010451,-2.421311460088681,7.567400855285143,1.403690331683734,-6.471154073329032,1.2845726416865197,2.5904450040498794,0.505172077269826,4.588205606717224,0.6740121647641146,-2.7713427881623787,-4.428437348242866,0.28412558400770394,0.7691424858090059
Bulgaria,0.6904748239970218,-1.1526046163488246,-0.5763122569829733,-1.533752002949953,0.6345465698395074,0.3432070667982714,0.29256100054077905,0.7878216543148397,-2.604097181784681,0.5622149507977099,2.957574816857445,1.6044505149599644,0.23905480752907238,-4.607104363852159,-0.7003862579367564,2.300639394179356,1.541588678515204,2.128524573423924
Burkina Faso,-1.8680180894336935,2.6586993628627944,-0.040189291268621474,1.6611123578544245,0.9603826381943925,-4.247905996302059,2.9285475756168253,0.13593024727908087,-1.219020019579844,2.231941154185698,2.592599885567118,-4.3328473862023,-0.5689859245681994,1.2728785058130292,4.615686216314078,-2.2831305216658073,-0.46935010986349823,1.9776331174488142
Cabo Verde,-7.385697865836253,3.3899655234025765,1.1185288152309951,-0.2036621151867095,-3.8407486352394358,0.747625915350902,3.167332703039868,5.741584824473335,-5.875568613524564,1.402184033624593,-0.8428261059664521,-3.3569265103809727,0.9611680760086401,-1.8068501497529752,1.93116020512106,-0.6918618601302491,0.3563289273815684,4.404682461074298
Cameroon,-0.6984255424967323,0.24474361397342825,-0.9819008516522665,0.0774127763661383,0.9582898474144788,2.4495694504858907,-1.2105315627295994,0.48493037833793373,2.6601201411756996,-0.6942013929802293,2.0556621292726405,0.8542648728437392,0.006699194885388948,0.11552059636910883,-0.9569422194492141,-1.274876553208891,0.7125062534467865,-2.08483984793736
Canada,-0.11816398772209169,-1.1410129745298505,-0.6140758957136754,0.1401945328351033,-0.14174657069838048,0.2563352138113757,4.645366154294507,-0.3568041667793693,-1.4887025181873597,-0.6490392971982644,-0.9654623555438491,-1.5902580631852317,1.6479349265752532,0.7348150674717218,-0.2978274492541999,0.20694464970321036,-0.00828378696112253,12.353187550767942
Chile,-0.8426121382027354,-1.5573170854173348,-0.5593799982177927,-1.4522875881565938,0.5989091697468787,2.5523619106888304,3.0459901440622623,-1.3848122060261545,-0.48124576198600977,0.2767007240922119,0.21255796603368537,0.7419700247745169,1.1751744329888858,0.340601836808645,0.13395732977891228,0.12473234576184566,0.8303074859231749,2.8120457328547133
China,-0.236433981840662,-0.356871018292626,0.3959166110842851,0.07194742445576807,-0.18788119618119126,4.374210537474749,3.1292603515428468,-0.5601081603132663,2.0247059498020192,1.039660019957175,0.40570865331516615,0.32563678940779184,2.662097862441115,0.7640240634435571,0.3189667669724088,0.6417784638336599,0.8756673145101814,2.2251361996830923
Colombia,-0.05973129467065519,-1.3827706316538304,-0.7421037794441361,2.5519090009118273,-0.27899613545946167,0.2666252704372418,2.485424295128201,-0.5639913343435587,-0.11685942190949916,-1.1407689114182773,0.905764460952085,1.262842010958213,0.01614673981459447,-1.2836930455739903,-0.6731668379207534,5.337403626596181,-1.779032787167047,0.6809004701720127
Costa Rica,-0.983500468301969,-0.5609421756191146,-0.4249143155113586,-1.044584548518289,-0.6922823171640093,0.7987206277626058,1.2044904161703336,1.4487420479942408,-0.8969281121480286,0.1888083685542412,1.126461142616332,-0.03395883462711424,0.035349525961290595,0.07496508101690225,0.45821275591412913,-0.28433825633792154,2.769490337227971,0.6732548287534996
Croatia,-0.6206032854190369,-1.2085456146788829,-1.889893484527711,-0.40617664607916737,-0.8228206079034521,0.2377780409859298,2.9716552683429143,-0.45200811281141995,0.2870168267515325,-0.6040432589907425,-0.16046850935846635,0.589609600681996,-0.1398684752206094,-1.2000438529394302,-2.1181500708897687,0.7337854692115826,0.5925902492408497,8.459679558623527
Cyprus,2.9639807770139512,-1.748956289099823,1.0506996341185584,-0.565999865065443,-1.562185929648244,0.6539139675230388,3.6734995390997724,-0.0818813636824487,0.3822309719828425,-0.1814212776570372,0.19701247248765696,-1.7701385464853843,-0.9594026808579486,-2.010305635513582,-0.9931182571844559,6.218695134420592,-4.317278663932868,6.611040367514491
Czech Republic,4.461109611240538,-6.795258602501235,0.04573615710231138,-0.9092802250005576,-1.0216461469591778,0.42973682214198305,3.4888186152102207,-0.7274161740197442,-0.44234150636568614,1.4874332019967156,-2.0249155761569426,-0.02811140183722216,-0.6879306928696991,-2.183108357710708,-0.7709354595449582,1.622761267107606,0.45921012307967857,6.161972492908873
Democratic Republic of the Congo,5.012508886359762,-1.735141326553789,1.275509203646596,0.33072038149488847,0.676949706358883,1.9372272448927923,0.7984442786493826,3.451183348580839,-1.9362427758002632,-0.24892076832248478,-0.9861347662136701,5.74057890177,-1.2584512722298626,-2.75522797773562,-4.089646785592809,0.7386238323381882,1.7179654973071212,-2.4661006416677456
Denmark,0.42508357428842203,-0.6420171558922121,-1.755807123215206,-1.4117800212578047,-0.23835715973685723,0.8193799715726229,6.125528251450753,0.13691190651658758,-0.24390411875823048,1.5256139576954126,-2.1345474121368326,-0.6026654187107354,-0.6900663674319816,-2.049030021832543,-1.9290851939275697,-0.001205760054695304,-1.0314487237556094,3.9176115571959187
Dominican Republic,3.1686716665560173,-1.9357766121857445,-1.9341842044378996,1.015879292459724,0.1134917934638402,2.012778919106605,-2.037462978462699,-0.4493892737597438,0.14811810689863414,4.170672820583075,-2.4268457729214354,-0.6909622598026637,-0.31868110287408413,0.29328544992090144,0.08969396910525518,-0.7124727778484257,0.23955730122284535,5.500550478436672
