Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,-1.618006452623085,0.3674920489810489,-1.0882140445597095,0.8031692440041596,0.1676719179496331,2.5158795955967506,0.2225345823551521,-3.340737611848226,-0.280173350557412,-0.5647873930775411,0.7828941546959172,2.1100399686772846,-0.6301066498025456,-1.776961733072767,0.003128527689391092,-0.3581145191925188,0.29096738858551063,2.940067274131618
Algeria,-1.3992017588641659,-0.406438138134785,-1.3347877890777244,1.9643191308098285,3.9711136935781646,3.1500041285969225,1.7112899778355128,-6.430334524611705,-0.5688485827451437,3.7700489579244767,-6.175374130502028,4.024781081075037,3.176608978730936,-3.475803808660878,-1.1447380031639192,0.9727463860751051,0.4058896449854714,-4.254554832031804
Angola,0.45324024110884586,2.945493074486471,-4.9934261698580205,4.764511942623216,7.329379730981058,13.25980268159105,-10.742928982781272,-2.7563277371321036,-3.186147589519667,0.20024389673680787,-3.9386041379395866,3.0534744588986573,-7.862835911877218,-2.4558168938136244,3.004509731440777,-1.0627500736355486,1.699912905856042,2.827986526150328
Argentina,0.9701179967417222,1.3271343944930525,0.3687149465783257,1.9036120424806864,2.3739973941647694,0.567546520698226,1.4917576530647665,-0.4262345715206699,1.0186048558064904,0.9630135920736969,0.6207275005657138,1.1063577661509996,1.3649032277566278,0.5994831035160395,-0.4428764890082988,-0.28045227023056896,-0.6509317836983861,4.0673284184158085
Australia,-0.0676185866492034,0.057350050895284,-0.30645085268686856,0.04921448768486769,-0.1146890808590868,0.8414260464388228,2.3444820753874325,-1.192112558351834,-0.4697305867891721,0.027574862238438413,-0.02380765473575508,0.472692957968885,0.1590935923927148,-0.7650451146452433,-0.4507383694201792,0.061549756185460325,1.6638400864509215,4.264382692828146
Austria,-2.645711027237933,3.8672683147966005,-3.005317687705247,-0.6879701391248894,-0.6228925888003545,0.10180242589143162,2.8579674948477525,-1.1140910583368466,-1.3472494126499974,0.35690261003070844,0.3793544933494317,0.7902273401897837,-1.2564060405551345,-0.8453524911266435,-0.6106790915225488,-0.40259831345730746,-0.308633780600438,6.761485380417945
Azerbaijan,-1.4660797917398174,2.050193296965686,0.7522202345508706,4.688963964743378,-0.3543134314299117,6.537486733157504,0.43837382530581337,-2.3064293222468386,2.5309289954674554,2.502437959310299,1.3864582662981846,-2.0079299891167075,0.7810378197039469,-3.694117853081824,1.620099593235718,-1.5838196606655544,-1.3697783249483848,2.7813119175009966
Belarus,-0.5827394720992842,1.2550505176551567,0.7965670700575842,3.7928220087786144,2.6471379971737363,12.842709034619467,-7.881844775834232,-7.309340967380685,-1.452687428497267,-1.5193304521871802,2.058146002106028,-2.301229223846125,1.7656310949862188,-1.8180301336397804,-1.6407229391107165,-1.284343160259514,-1.5942535213239353,0.5701099478714049
Belgium,0.7980550386412482,-1.441177016153727,2.646633054590122,-2.9176562667300203,0.0963597339583302,1.162520836592055,2.379402666929998,-0.34311851553476913,1.1093063156519598,0.919136628933007,-0.37054671128774075,-0.4378037201876914,-1.2612033101818056,-0.24899420437768427,-0.857732335996598,0.101383684336259,-0.29068075980157104,5.672303186113446
Belize,-0.341654040649793,-3.0559370992238932,-0.8873647600871859,-0.36351873570889204,0.6858890280161898,-1.7957425001617118,1.119237259525267,-0.23934701348111886,0.36962530370589164,-1.4147035577047138,2.8607690777030665,1.2806317043652857,3.255847368588114,-1.971071932785815,-0.5010068018336824,-2.6566742042195646,1.1994066794066445,8.34683437641171
